ticker,as_of,close,market_cap,volume,trading_value,avg_trading_value_20d,high_52w,low_52w,return_6m,volatility_1y,beta_kospi200
009240,2026-07-28,38100.0,896642656800.0,51580,1965198000.0,1632436992.5,51400.0,28550.0,-0.1514,38.72,
009420,2026-07-28,45200.0,2361276837600.0,179614,8118552800.0,23569215927.5,70700.0,25700.0,-0.0869,91.98,
009450,2026-07-28,61300.0,893054689600.0,26930,1650809000.0,1949298547.5,92900.0,53600.0,0.0811,48.22,
009540,2026-07-28,354000.0,25053683064000.0,200941,71133114000.0,76201318487.4,479500.0,327000.0,-0.2009,53.38,
009830,2026-07-28,23950.0,4116826237200.0,2707000,64832650000.0,88447236505.0,55179.0,23950.0,-0.0964,86.3,
009970,2026-07-28,201000.0,2603717217000.0,8915,1791915000.0,2541033942.5,250000.0,120700.0,0.0859,50.18,
010060,2026-07-28,184500.0,3444657804000.0,291117,53711086500.0,59459190810.0,388000.0,84800.0,0.6016,104.37,
010120,2026-07-28,175500.0,26325000000000.0,785630,137878065000.0,213539705647.5,318500.0,51900.0,0.6714,82.14,
010130,2026-07-28,950000.0,19829320550000.0,17637,16755150000.0,17127423725.0,2115000.0,759000.0,-0.4139,75.29,
010140,2026-07-28,20700.0,18216000000000.0,3471198,71853798600.0,87238792770.0,34400.0,17900.0,-0.329,58.04,
010170,2026-07-28,8450.0,1313853827000.0,4714661,39838885450.0,93362314757.5,29100.0,848.0,1.6121,143.8,
010950,2026-07-28,129500.0,14579471564000.0,346010,44808295000.0,67137045307.5,151200.0,57800.0,0.4294,61.62,
011070,2026-07-28,514000.0,12164892998000.0,280740,144300360000.0,201594267575.0,1530000.0,151900.0,0.8357,83.87,
011170,2026-07-28,57200.0,2446753966800.0,77961,4459369200.0,6363265171.4,118000.0,56600.0,-0.2218,65.78,
011200,2026-07-28,20000.0,18864759400000.0,1142467,22849340000.0,27472953562.5,25250.0,18310.0,-0.0453,39.87,
011210,2026-07-28,53300.0,1449497923900.0,136810,7291973000.0,6009566178.65,101300.0,47950.0,-0.3902,62.49,
011780,2026-07-28,115400.0,2903155305000.0,63177,7290625800.0,8888828032.5,153400.0,103600.0,-0.1896,50.93,
011790,2026-07-28,71800.0,3561157796400.0,270918,19451912400.0,22688877447.5,174100.0,71800.0,-0.3173,79.05,
012330,2026-07-28,440000.0,39922336520000.0,386385,170009400000.0,180028577080.0,768000.0,283500.0,-0.0244,67.01,
012450,2026-07-28,875000.0,45117975875000.0,172897,151284875000.0,220869356729.85,1537000.0,813000.0,-0.3316,61.06,
012510,2026-07-28,120000.0,3494865960000.0,0,0.0,631674795.0,120300.0,64200.0,0.3043,44.11,
012630,2026-07-28,20050.0,1197821506050.0,58654,1176012700.0,1451918853.5,30150.0,15990.0,0.192,52.51,
0126Z0,2026-07-28,367000.0,9132078983000.0,52458,19252086000.0,21876899212.5,743000.0,335500.0,-0.4193,84.84,
012750,2026-07-28,72300.0,2747340569400.0,63833,4615125900.0,4837296601.8,94100.0,68200.0,-0.0883,45.24,
014620,2026-07-28,26300.0,698458673200.0,130507,3432334100.0,3262298759.0,48300.0,24050.0,-0.1248,67.32,
014680,2026-07-28,198800.0,2189364321200.0,56445,11221266000.0,14133731097.65,338000.0,159500.0,-0.2383,63.8,
015760,2026-07-28,33650.0,21602091191050.0,1447961,48723887650.0,60578943568.75,67900.0,33000.0,-0.4855,55.39,
016360,2026-07-28,93000.0,8304900000000.0,784562,72964266000.0,53337378205.0,149500.0,66900.0,0.1232,61.82,
017670,2026-07-28,82200.0,17655742356600.0,2492935,204919257000.0,126082649335.0,125200.0,52100.0,0.3215,50.28,
017800,2026-07-28,68000.0,2658282180000.0,144722,9841096000.0,7839156562.5,111700.0,66400.0,-0.2657,40.45,
017940,2026-07-28,87000.0,596820000000.0,11909,1036083000.0,886707605.0,112500.0,71500.0,0.0571,42.45,
017960,2026-07-28,20200.0,1043865017200.0,447696,9043459200.0,7215306610.0,52200.0,20200.0,-0.4435,67.23,
018260,2026-07-28,200500.0,15514248900000.0,319894,64138747000.0,64864661724.5,362000.0,145900.0,0.1151,70.32,
018670,2026-07-28,229000.0,2119908876000.0,13339,3054631000.0,3451868625.0,290000.0,203000.0,0.0066,48.85,
018880,2026-07-28,3355.0,3443110861960.0,4273538,14337719990.0,17764834493.85,5730.0,2800.0,0.0387,76.3,
019210,2026-07-28,18060.0,671718727680.0,643249,11617076940.0,22473597394.0,26700.0,4950.0,2.1908,83.82,
020150,2026-07-28,26550.0,1390303042650.0,274954,7300028700.0,7066622622.5,78500.0,22350.0,-0.2248,92.54,
020560,2026-07-28,6880.0,1417216091680.0,119387,821382560.0,1038513268.75,9870.0,6670.0,-0.1123,34.75,
021240,2026-07-28,91200.0,6453989251200.0,197217,17986190400.0,18293075372.55,113200.0,70900.0,0.1813,39.01,
022100,2026-07-28,18020.0,2739665816580.0,254170,4580143400.0,8022496587.25,42850.0,17510.0,-0.5679,75.6,
023160,2026-07-28,21250.0,549678892500.0,66473,1412551250.0,3664505400.0,48500.0,19280.0,-0.2086,74.72,
023530,2026-07-28,122700.0,3471030238500.0,51233,6286289100.0,21856172987.5,203500.0,64100.0,0.6252,55.11,
023590,2026-07-28,34950.0,1512891554400.0,72165,2522166750.0,1922725492.5,61500.0,31400.0,-0.137,54.75,
024110,2026-07-28,20400.0,16267487727600.0,1605710,32756484000.0,23101930976.95,28550.0,18650.0,-0.0169,30.72,
025540,2026-07-28,60000.0,606900000000.0,24534,1472040000.0,1257350542.5,91400.0,58700.0,-0.1903,40.11,
026960,2026-07-28,26050.0,2597185000000.0,229713,5984023650.0,2459319467.5,31200.0,22950.0,0.0019,30.51,
028050,2026-07-28,44150.0,8653400000000.0,1994992,88078896800.0,116684742133.75,64400.0,23250.0,0.7179,64.41,
028260,2026-07-28,305000.0,49461112205000.0,520908,158876940000.0,236113587397.1,535000.0,159000.0,0.0304,68.98,
