ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of,rank,reason
024110,기업은행,은행,True,,50.83,86.49,50.0,39.1,39.23,60.15,60.15,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,11,Q51 V86 SR50 tier=Core
033780,KT&G,음식료·담배,True,,50.83,51.58,50.0,42.25,90.4,59.89,59.89,0.0,B,momentum_satellite,Satellite,True,False,YELLOW,3.22,,2026-07-28,12,Q51 V52 SR50 tier=Satellite
005830,DB손해보험,insurance,True,,56.79,72.57,60.0,26.83,61.9,59.33,59.33,0.0,B,dividend_value,Core,False,False,GREEN,4.0,,2026-07-28,13,Q57 V73 SR60 tier=Core
138930,BNK금융지주,은행/금융지주,True,,50.83,83.71,50.0,38.04,55.3,59.21,59.21,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,14,Q51 V84 SR50 tier=Core
012630,HDC,기타금융,True,,50.83,89.55,50.0,18.6,47.85,59.02,59.02,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,15,Q51 V90 SR50 tier=Core
214320,이노션,광고/미디어,True,,50.83,75.24,50.0,59.57,67.45,58.82,58.82,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,16,Q51 V75 SR50 tier=Core
003380,하림지주,금융,True,,50.83,90.05,50.0,15.07,25.05,58.81,58.81,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,17,Q51 V90 SR50 tier=Core
000370,한화손해보험,보험,True,,50.83,90.37,50.0,13.14,35.85,58.72,58.72,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,18,Q51 V90 SR50 tier=Core
383220,F&F,섬유·의류,True,,50.83,67.2,50.0,30.23,77.78,58.66,58.66,0.0,B,value_defensive,Satellite,True,False,YELLOW,3.16,,2026-07-28,19,Q51 V67 SR50 tier=Satellite
316140,우리금융지주,기타금융,True,,50.83,81.27,50.0,38.78,57.21,58.55,58.55,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,20,Q51 V81 SR50 tier=Core
004490,세방전지,전기·전자,True,,50.83,87.42,50.0,19.15,21.6,58.43,58.43,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,21,Q51 V87 SR50 tier=Core
036830,솔브레인홀딩스,일반서비스,True,,50.83,90.37,50.0,10.0,19.65,58.4,58.4,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,22,Q51 V90 SR50 tier=Core
139130,iM금융지주,은행/금융지주,True,,50.83,82.51,50.0,33.33,59.19,58.38,58.38,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,23,Q51 V83 SR50 tier=Core
032190,다우데이타,유통,True,,50.83,88.79,50.0,14.44,34.8,58.37,58.37,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,24,Q51 V89 SR50 tier=Core
029780,삼성카드,기타금융,True,,50.83,81.09,50.0,36.34,30.94,58.25,58.25,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,25,Q51 V81 SR50 tier=Core
088350,한화생명,생명보험,True,,50.83,85.61,50.0,21.11,51.75,58.08,58.08,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,26,Q51 V86 SR50 tier=Core
375500,DL이앤씨,건설,True,,50.83,86.13,50.0,18.84,51.45,58.01,58.01,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28,27,Q51 V86 SR50 tier=Core
