ticker,name,sector,gate_pass,gate_fail_reason,score_q,score_v,score_sr,score_r,score_m,composite_raw,composite_score,incumbent_bonus,grade,role_suggested,tier,satellite_track,is_held,data_gate,sleeve_weight_suggested,portfolio_weight_suggested,as_of
252990,샘씨엔에스,전기·전자,True,,50.83,26.65,50.0,29.05,60.25,41.19,41.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
491000,리브스메드,의료·정밀기기,True,,50.83,41.43,50.0,11.49,6.47,43.87,43.87,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
051915,LG화학우,화학,True,,50.83,50.0,50.0,10.79,12.78,46.37,46.37,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
032350,롯데관광개발,일반서비스,True,,50.83,41.97,50.0,11.29,3.76,44.01,44.01,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
347700,스피어,IT 서비스,True,,50.83,11.86,50.0,15.5,20.3,35.4,35.4,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
006340,대원전선,전기·전자,True,,50.83,20.53,50.0,30.86,66.46,39.54,39.54,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
437730,삼현,운송장비·부품,True,,50.83,22.55,50.0,20.73,2.11,39.13,39.13,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
071055,한국금융지주우,기타금융,True,,50.83,50.0,50.0,25.63,44.49,47.85,47.85,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
001820,삼화콘덴서,전기·전자,True,,50.83,31.26,50.0,18.81,58.05,41.55,41.55,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
101490,에스앤에스텍,전기·전자,True,,50.83,51.92,50.0,11.46,8.72,47.01,47.01,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
241710,코스메카코리아,화학,True,,50.83,45.55,50.0,30.18,73.14,53.16,53.16,0.0,C,value_quality,—,True,False,YELLOW,4.0,,2026-07-28
003470,유안타증권,증권,True,,50.83,76.74,50.0,16.68,43.01,54.98,54.98,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
204270,제이앤티씨,전기·전자,True,,50.83,44.21,50.0,10.0,11.28,44.55,44.55,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
009240,한샘,유통,True,,50.83,58.72,50.0,33.22,33.08,51.23,51.23,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
086450,동국제약,제약,True,,50.83,64.2,50.0,13.83,42.11,50.93,50.93,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
099320,쎄트렉아이,운송장비·부품,True,,50.83,31.38,50.0,14.63,3.46,41.17,41.17,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
376900,로킷헬스케어,제약,True,,50.83,28.97,50.0,15.98,6.17,40.58,40.58,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
293490,카카오게임즈,IT 서비스,True,,50.83,64.91,50.0,12.13,3.61,50.98,50.98,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
388210,씨엠티엑스,전기·전자,True,,50.83,41.21,50.0,12.2,10.53,43.87,43.87,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
100090,SK오션플랜트,금속,True,,50.83,56.41,50.0,10.85,12.03,48.3,48.3,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
085660,차바이오텍,제약,True,,50.83,47.89,50.0,10.51,4.21,45.71,45.71,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
019210,와이지-원,금속,True,,50.83,44.23,50.0,30.28,65.3,46.59,46.59,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
365550,ESR켄달스퀘어리츠,부동산,True,,50.83,50.0,50.0,44.66,19.26,49.76,49.76,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
083450,GST,기계·장비,True,,50.83,51.06,50.0,24.09,53.38,48.02,48.02,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
456040,OCI,화학,True,,50.83,62.35,50.0,15.14,34.89,50.51,50.51,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
232140,와이씨,기계·장비,True,,50.83,40.5,50.0,10.0,6.92,43.44,43.44,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
038500,삼표시멘트,비금속,True,,50.83,59.46,50.0,17.11,51.13,49.84,49.84,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
499790,GS피앤엘,기타금융,True,,50.83,49.08,50.0,13.35,29.47,46.35,46.35,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
004490,세방전지,전기·전자,True,,50.83,87.41,50.0,20.97,21.05,58.61,58.61,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
214320,이노션,광고/미디어,True,,50.83,75.19,50.0,61.17,68.49,58.96,58.96,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
281740,레이크머티리얼즈,화학,True,,50.83,23.25,50.0,10.05,14.14,38.27,38.27,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
417200,LS머트리얼즈,전기·전자,True,,50.83,22.09,50.0,12.23,22.56,38.14,38.14,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
000400,롯데손해보험,보험,True,,50.83,59.23,50.0,23.47,60.33,50.41,50.41,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
079160,CJ CGV,오락·문화,True,,50.83,54.01,50.0,30.0,30.32,49.49,49.49,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
213420,덕산네오룩스,전기·전자,True,,50.83,58.58,50.0,10.82,24.36,48.95,48.95,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
074600,원익QnC,비금속,True,,50.83,45.0,50.0,19.12,41.35,45.7,45.7,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
122870,와이지엔터테인먼트,오락·문화,True,,50.83,53.58,50.0,11.06,5.11,47.47,47.47,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
090710,휴림로봇,기계·장비,True,,50.83,39.76,50.0,16.11,1.2,43.83,43.83,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
056190,SFA,기계·장비,True,,50.83,75.87,50.0,10.38,18.35,54.09,54.09,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
065350,신성델타테크,전기·전자,True,,50.83,40.59,50.0,10.58,1.5,43.53,43.53,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
100790,미래에셋벤처투자,금융,True,,50.83,47.11,50.0,13.17,31.58,45.74,45.74,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
075580,세진중공업,운송장비·부품,True,,50.83,51.38,50.0,10.68,4.51,46.77,46.77,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
388720,유일로보틱스,기계·장비,True,,50.83,36.54,50.0,10.74,8.42,42.33,42.33,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
328130,루닛,IT 서비스,True,,50.83,41.77,50.0,10.35,2.71,43.86,43.86,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
041830,인바디,의료·정밀기기,True,,50.83,49.19,50.0,31.31,74.13,54.25,54.25,0.0,C,value_quality,—,True,False,YELLOW,4.0,,2026-07-28
137400,피엔티,기계·장비,True,,50.83,72.57,50.0,11.04,15.19,53.17,53.17,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
032190,다우데이타,유통,True,,50.83,88.78,50.0,15.06,34.59,58.43,58.43,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
000370,한화손해보험,보험,True,,50.83,90.37,50.0,14.14,35.94,58.82,58.82,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
064960,SNT모티브,운송장비·부품,True,,50.83,79.77,50.0,13.69,14.29,55.59,55.59,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
285130,SK케미칼,화학,True,,50.83,73.09,50.0,11.55,5.86,53.37,53.37,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
248070,솔루엠,전기·전자,True,,50.83,42.66,50.0,11.06,30.38,44.19,44.19,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
033100,제룡전기,전기·전자,True,,50.83,56.28,50.0,15.26,39.55,48.7,48.7,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
014620,성광벤드,금속,True,,50.83,56.82,50.0,13.4,28.42,48.68,48.68,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
298050,HS효성첨단소재,화학,True,,50.83,59.79,50.0,12.61,16.54,49.49,49.49,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
006650,대한유화,화학,True,,50.83,70.59,50.0,10.0,6.32,52.47,52.47,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
000670,영풍,금속,True,,50.83,71.14,50.0,10.12,9.02,52.64,52.64,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
005690,파미셀,전기·전자,True,,50.83,44.73,50.0,10.0,18.5,44.71,44.71,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
093320,케이아이엔엑스,IT 서비스,True,,50.83,36.35,50.0,19.0,84.81,53.12,53.12,0.0,C,value_quality,—,True,False,YELLOW,4.0,,2026-07-28
035760,CJ ENM,오락·문화,True,,50.83,70.31,50.0,17.15,2.26,53.1,53.1,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
069260,TKG휴켐스,화학,True,,50.83,75.38,50.0,24.96,23.99,55.4,55.4,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
189300,인텔리안테크,전기·전자,True,,50.83,33.0,50.0,14.29,19.4,41.62,41.62,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
115180,큐리언트,일반서비스,True,,50.83,30.42,50.0,15.4,6.62,40.96,40.96,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
025540,한국단자,전자부품/커넥터,True,,50.83,82.76,50.0,20.99,24.21,57.22,57.22,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
445680,큐리옥스바이오시스템즈,의료·정밀기기,True,,50.83,33.2,50.0,11.01,0.45,41.35,41.35,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
108320,LX세미콘,전기·전자,True,,50.83,82.55,50.0,10.0,13.83,56.06,56.06,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
036830,솔브레인홀딩스,일반서비스,True,,50.83,90.36,50.0,10.57,19.25,58.46,58.46,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
006730,서부T&D,일반서비스,True,,50.83,81.56,50.0,14.46,14.44,56.2,56.2,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
161580,필옵틱스,기계·장비,True,,50.83,41.1,50.0,10.0,5.41,43.62,43.62,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
094170,동운아나텍,전기·전자,True,,50.83,14.66,50.0,19.06,37.29,36.59,36.59,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005180,빙그레,음식료·담배,True,,50.83,70.98,50.0,37.41,35.88,55.33,55.33,0.0,B,value_defensive,Core,False,False,YELLOW,4.0,,2026-07-28
253450,스튜디오드래곤,오락·문화,True,,50.83,48.49,50.0,16.1,1.8,46.45,46.45,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
001680,대상,음식료·담배,True,,50.83,63.68,50.0,44.96,26.4,53.89,53.89,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
293940,신한알파리츠,부동산,False,low_liquidity,50.83,50.0,50.0,60.87,57.96,51.38,51.38,0.0,Reject,value_quality,—,False,False,RED,4.0,,2026-07-28
476060,온코닉테라퓨틱스,일반서비스,True,,50.83,27.03,50.0,17.17,4.36,40.12,40.12,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
476830,알지노믹스,일반서비스,True,,50.83,32.31,50.0,10.0,0.3,40.98,40.98,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
490470,세미파이브,일반서비스,True,,50.83,46.77,50.0,10.0,9.17,45.32,45.32,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
032500,케이엠더블유,전기·전자,True,,50.83,39.88,50.0,14.19,35.49,43.67,43.67,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
119850,지엔씨에너지,전기·전자,True,,50.83,47.42,50.0,26.93,38.71,47.21,47.21,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
005090,SGC에너지,전기·가스,True,,50.83,56.01,50.0,22.88,56.84,49.38,49.38,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
466100,클로봇,IT 서비스,True,,50.83,33.42,50.0,15.38,0.75,41.85,41.85,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
090360,로보스타,기계·장비,True,,50.83,36.32,50.0,17.81,12.48,42.97,42.97,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
102710,이엔에프테크놀로지,화학,True,,50.83,60.59,50.0,15.58,28.12,50.03,50.03,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
00088K,한화3우B,unknown,True,,50.83,50.0,50.0,13.49,8.87,46.64,46.64,0.0,C,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
048410,현대바이오,화학,True,,50.83,38.99,50.0,12.6,38.8,43.25,43.25,0.0,Reject,value_quality,—,False,False,YELLOW,4.0,,2026-07-28
023160,태광,금속,True,,50.83,69.73,50.0,12.84,22.71,52.49,52.49,0.0,C,value_defensive,—,False,False,YELLOW,4.0,,2026-07-28
